cell_type,cell_type_cl_id,tissue,tissue_ontology_id,tissue_uberon_id,n_cells
B cell,CL:0000236,adipose tissue,UBERON:0001013,UBERON:0001013,5184
B cell,CL:0000236,anterior part of tongue,UBERON:0010032,UBERON:0010032,3
B cell,CL:0000236,anterior segment of eyeball,UBERON:0001801,UBERON:0001801,52
B cell,CL:0000236,aorta,UBERON:0000947,UBERON:0000947,27
B cell,CL:0000236,ascending colon,UBERON:0001156,UBERON:0001156,969
B cell,CL:0000236,bladder organ,UBERON:0018707,UBERON:0018707,484
B cell,CL:0000236,blood,UBERON:0000178,UBERON:0000178,3893
B cell,CL:0000236,bone marrow,UBERON:0002371,UBERON:0002371,1819
B cell,CL:0000236,brown adipose tissue,UBERON:0001348,UBERON:0001348,9515
B cell,CL:0000236,cardiac atrium,UBERON:0002081,UBERON:0002081,2
B cell,CL:0000236,cardiac ventricle,UBERON:0002082,UBERON:0002082,1
B cell,CL:0000236,coronary artery,UBERON:0001621,UBERON:0001621,102
B cell,CL:0000236,cortex of kidney,UBERON:0001225,UBERON:0001225,34
B cell,CL:0000236,crista ampullaris,UBERON:0004721,UBERON:0004721,1
B cell,CL:0000236,duodenum,UBERON:0002114,UBERON:0002114,210
B cell,CL:0000236,endocrine pancreas,UBERON:0000016,UBERON:0000016,27
B cell,CL:0000236,endometrium,UBERON:0001295,UBERON:0001295,42
B cell,CL:0000236,exocrine pancreas,UBERON:0000017,UBERON:0000017,26
B cell,CL:0000236,eye,UBERON:0000970,UBERON:0000970,60
B cell,CL:0000236,eyelid,UBERON:0001711,UBERON:0001711,1236
B cell,CL:0000236,heart,UBERON:0000948,UBERON:0000948,6
B cell,CL:0000236,heart right ventricle,UBERON:0002080,UBERON:0002080,2
B cell,CL:0000236,ileum,UBERON:0002116,UBERON:0002116,129
B cell,CL:0000236,inferior vena cava,UBERON:0001072,UBERON:0001072,2
B cell,CL:0000236,inguinal lymph node,UBERON:0001542,UBERON:0001542,12327
B cell,CL:0000236,jejunum,UBERON:0002115,UBERON:0002115,7
B cell,CL:0000236,kidney,UBERON:0002113,UBERON:0002113,460
B cell,CL:0000236,lacrimal gland,UBERON:0001817,UBERON:0001817,2758
B cell,CL:0000236,large intestine,UBERON:0000059,UBERON:0000059,514
B cell,CL:0000236,left coronary artery,UBERON:0001626,UBERON:0001626,1
B cell,CL:0000236,left ovary,UBERON:0002119,UBERON:0002119,1
B cell,CL:0000236,liver,UBERON:0002107,UBERON:0002107,163
B cell,CL:0000236,lung,UBERON:0002048,UBERON:0002048,663
B cell,CL:0000236,lymph node,UBERON:0000029,UBERON:0000029,38776
B cell,CL:0000236,mammary gland,UBERON:0001911,UBERON:0001911,15
B cell,CL:0000236,mesenteric lymph node,UBERON:0002509,UBERON:0002509,3643
B cell,CL:0000236,mucosa of stomach,UBERON:0001199,UBERON:0001199,495
B cell,CL:0000236,muscle of abdomen,UBERON:0002378,UBERON:0002378,13
B cell,CL:0000236,muscle of pelvic diaphragm,UBERON:0008612,UBERON:0008612,36
B cell,CL:0000236,muscularis mucosae of stomach,UBERON:0001203,UBERON:0001203,147
B cell,CL:0000236,myometrium,UBERON:0001296,UBERON:0001296,1
B cell,CL:0000236,ocular surface region,UBERON:0010409,UBERON:0010409,1
B cell,CL:0000236,ovary,UBERON:0000992,UBERON:0000992,2
B cell,CL:0000236,parotid gland,UBERON:0001831,UBERON:0001831,4159
B cell,CL:0000236,posterior part of tongue,UBERON:0010033,UBERON:0010033,1247
B cell,CL:0000236,posterior segment of eyeball,UBERON:0001802,UBERON:0001802,2
B cell,CL:0000236,prostate gland,UBERON:0002367,UBERON:0002367,101
B cell,CL:0000236,right cardiac atrium,UBERON:0002078,UBERON:0002078,5
B cell,CL:0000236,sclera,UBERON:0001773,UBERON:0001773,44
B cell,CL:0000236,sigmoid colon,UBERON:0001159,UBERON:0001159,586
B cell,CL:0000236,skin of abdomen,UBERON:0001416,UBERON:0001416,2
B cell,CL:0000236,skin of chest,UBERON:0001868,UBERON:0001868,5
B cell,CL:0000236,small intestine,UBERON:0002108,UBERON:0002108,427
B cell,CL:0000236,spleen,UBERON:0002106,UBERON:0002106,16557
B cell,CL:0000236,stomach,UBERON:0000945,UBERON:0000945,29
B cell,CL:0000236,stomach smooth muscle,UBERON:0004222,UBERON:0004222,1510
B cell,CL:0000236,subcutaneous adipose tissue,UBERON:0002190,UBERON:0002190,70
B cell,CL:0000236,sublingual gland,UBERON:0001832,UBERON:0001832,779
B cell,CL:0000236,submandibular gland,UBERON:0001736,UBERON:0001736,10
B cell,CL:0000236,testis,UBERON:0000473,UBERON:0000473,1
B cell,CL:0000236,thoracic aorta,UBERON:0001515,UBERON:0001515,10
B cell,CL:0000236,thymus,UBERON:0002370,UBERON:0002370,4462
B cell,CL:0000236,trachea,UBERON:0003126,UBERON:0003126,627
B cell,CL:0000236,uterus,UBERON:0000995,UBERON:0000995,7
B cell,CL:0000236,vasculature,UBERON:0002049,UBERON:0002049,6
BEST4+ enterocyte,CL:4030026,ascending colon,UBERON:0001156,UBERON:0001156,371
BEST4+ enterocyte,CL:4030026,duodenum,UBERON:0002114,UBERON:0002114,636
BEST4+ enterocyte,CL:4030026,ileum,UBERON:0002116,UBERON:0002116,125
BEST4+ enterocyte,CL:4030026,jejunum,UBERON:0002115,UBERON:0002115,7
BEST4+ enterocyte,CL:4030026,sigmoid colon,UBERON:0001159,UBERON:0001159,719
BEST4+ enterocyte,CL:4030026,small intestine,UBERON:0002108,UBERON:0002108,112
"CD4-positive, alpha-beta T cell",CL:0000624,abdominal aorta,UBERON:0001516,UBERON:0001516,38
"CD4-positive, alpha-beta T cell",CL:0000624,adipose tissue,UBERON:0001013,UBERON:0001013,4524
"CD4-positive, alpha-beta T cell",CL:0000624,anterior part of tongue,UBERON:0010032,UBERON:0010032,133
"CD4-positive, alpha-beta T cell",CL:0000624,anterior segment of eyeball,UBERON:0001801,UBERON:0001801,23
"CD4-positive, alpha-beta T cell",CL:0000624,aorta,UBERON:0000947,UBERON:0000947,235
"CD4-positive, alpha-beta T cell",CL:0000624,ascending colon,UBERON:0001156,UBERON:0001156,756
"CD4-positive, alpha-beta T cell",CL:0000624,bladder organ,UBERON:0018707,UBERON:0018707,2189
"CD4-positive, alpha-beta T cell",CL:0000624,blood,UBERON:0000178,UBERON:0000178,4900
"CD4-positive, alpha-beta T cell",CL:0000624,bone marrow,UBERON:0002371,UBERON:0002371,3173
"CD4-positive, alpha-beta T cell",CL:0000624,brown adipose tissue,UBERON:0001348,UBERON:0001348,6097
"CD4-positive, alpha-beta T cell",CL:0000624,buccal mucosa,UBERON:0006956,UBERON:0006956,6
"CD4-positive, alpha-beta T cell",CL:0000624,cardiac atrium,UBERON:0002081,UBERON:0002081,3
"CD4-positive, alpha-beta T cell",CL:0000624,cardiac ventricle,UBERON:0002082,UBERON:0002082,4
"CD4-positive, alpha-beta T cell",CL:0000624,chorioretinal region,UBERON:0019207,UBERON:0019207,13
"CD4-positive, alpha-beta T cell",CL:0000624,cornea,UBERON:0000964,UBERON:0000964,3
"CD4-positive, alpha-beta T cell",CL:0000624,coronary artery,UBERON:0001621,UBERON:0001621,256
